Timestamp,How many hours do you study per week on average?,Column 3,How often do you attend your lectures?,Do you study regularly (daily or almost daily)?,When do you usually start studying before an exam?,What is your preferred study method?,How many hours do you sleep per day?,Do you currently have a job?,What is your GPA? (Anonymous)
04/04/2026 22:09,6,,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions,8,No,2.87
04/04/2026 22:17,6,,Often (more than 75%),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Group study",10,No,2.2
04/04/2026 22:30,8,,Often (more than 75%),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions,8,No,3.25
04/04/2026 22:44,30,,Often (more than 75%),Often (4–5 days a week),1–2 weeks before,Solving problems/practice questions,7,No,2.55
04/04/2026 22:45,10,,Sometimes (around 50%),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions,9,No,3.4
04/04/2026 22:46,14,,Often (more than 75%),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",8,No,2.5
04/04/2026 23:11,8,,Sometimes (around 50%),Sometimes (2–3 days a week),The day before,Solving problems/practice questions,9,Yes (part-time),3.2
04/04/2026 23:14,10,,Often (more than 75%),Often (4–5 days a week),1–2 weeks before,Reading and summarizing,8,No,3.3
04/05/2026 00:00,20,,Rarely (less than 25%),Often (4–5 days a week),1–2 weeks before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",6,No,3.04
04/05/2026 02:08,8,,Often (more than 75%),Often (4–5 days a week),1–2 weeks before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",5,No,3.01
04/05/2026 02:58,8,,Sometimes (around 50%),Often (4–5 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",9,No,3.08
04/05/2026 03:02,10,,Always (almost every lecture),Sometimes (2–3 days a week),The day before,"Reading and summarizing, Solving problems/practice questions",8,No,2.2
04/05/2026 06:45,23,,Often (more than 75%),Sometimes (2–3 days a week),A few days before,"Solving problems/practice questions, Watching videos/online lectures",6,No,3
04/05/2026 09:42,1.5,,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions",6,No,3.51
04/05/2026 10:53,7,,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",5,Yes (part-time),3.9
04/05/2026 10:55,10,,Often (more than 75%),Rarely,A few days before,"Reading and summarizing, Watching videos/online lectures",6,No,3.43
04/05/2026 10:58,2.5,,Often (more than 75%),Sometimes (2–3 days a week),A few days before,"Solving problems/practice questions, Watching videos/online lectures",8,No,2.91
04/05/2026 11:28,21,,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions,6,No,3.16
04/05/2026 11:58,5,,Often (more than 75%),Rarely,A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",6,Yes (part-time),3.8
04/05/2026 12:33,7,,Rarely (less than 25%),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions",8,Yes (part-time),3.94
04/05/2026 16:38,10,,Often (more than 75%),Often (4–5 days a week),A few days before,"Solving problems/practice questions, Watching videos/online lectures, Group study",8,No,2.6
04/05/2026 16:48,4,,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,"Solving problems/practice questions, Watching videos/online lectures, Group study",8,Yes (part-time),3.1
04/05/2026 17:15,8,,Always (almost every lecture),Often (4–5 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures, Group study",6,No,2.89
04/05/2026 17:34,14,,Often (more than 75%),Often (4–5 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions",7,No,3.5
04/05/2026 17:36,20,,Always (almost every lecture),Often (4–5 days a week),The day before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",6,No,1111
04/05/2026 17:37,10,,Often (more than 75%),Often (4–5 days a week),1–2 weeks before,"Reading and summarizing, Solving problems/practice questions, Group study",6,No,2.8
04/05/2026 17:39,10,,Sometimes (around 50%),Often (4–5 days a week),A few days before,"Reading and summarizing, Watching videos/online lectures, Group study",4,No,2.4
04/05/2026 17:39,14,,Often (more than 75%),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions",8,Yes (part-time),3.3
04/05/2026 17:41,14,,Often (more than 75%),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",6,No,2
04/05/2026 18:00,13,,Often (more than 75%),Sometimes (2–3 days a week),A few days before,Watching videos/online lectures,7,No,2.9
04/05/2026 18:07,10,,Often (more than 75%),Sometimes (2–3 days a week),The day before,"Reading and summarizing, Solving problems/practice questions, Memorization only",7,No,2.5
04/05/2026 18:14,10,,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",7,No,3.44
04/05/2026 18:44,6,,Always (almost every lecture),Sometimes (2–3 days a week),The day before,Solving problems/practice questions,8,No,3.6
04/05/2026 19:54,5,,Always (almost every lecture),Often (4–5 days a week),A few days before,"Watching videos/online lectures, Group study",8,No,3.2
04/05/2026 22:03,10,,Often (more than 75%),Often (4–5 days a week),1–2 weeks before,"Solving problems/practice questions, Watching videos/online lectures",8,No,3.26
04/06/2026 14:10,10,,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures, Group study",8,No,2.56
04/06/2026 15:13,4,,Sometimes (around 50%),Rarely,A few days before,"Reading and summarizing, Memorization only",6,Yes (full-time),2.9
04/06/2026 15:47,0,,Rarely (less than 25%),Never,The day before,"Solving problems/practice questions, Watching videos/online lectures",10,Yes (full-time),3.3
04/06/2026 15:54,4,,Often (more than 75%),Sometimes (2–3 days a week),The day before,"Reading and summarizing, Memorization only",12,No,2.4
04/06/2026 16:02,56,,Always (almost every lecture),"Yes, daily",A few days before,"Reading and summarizing, Solving problems/practice questions",5,No,3
04/06/2026 16:07,60,,Always (almost every lecture),Often (4–5 days a week),A few days before,Solving problems/practice questions,4,Yes (part-time),4
04/06/2026 16:12,3.5,,Always (almost every lecture),Often (4–5 days a week),A few days before,"Solving problems/practice questions, Watching videos/online lectures",6,No,3
04/06/2026 16:13,7,,Sometimes (around 50%),Sometimes (2–3 days a week),1–2 weeks before,Watching videos/online lectures,6,No,2.65
04/06/2026 16:13,6,,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,"Solving problems/practice questions, Watching videos/online lectures",5,No,3.15
04/06/2026 16:14,30,,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Memorization only",8,No,3.4
04/06/2026 16:15,7,,Often (more than 75%),Sometimes (2–3 days a week),The day before,Reading and summarizing,6,Yes (part-time),2.45
04/06/2026 16:18,8,,Always (almost every lecture),Sometimes (2–3 days a week),1–2 weeks before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",6,No,2.7
04/06/2026 16:19,16,,Often (more than 75%),Often (4–5 days a week),1–2 weeks before,"Solving problems/practice questions, Watching videos/online lectures",4,No,1.9
04/06/2026 16:22,2,,Often (more than 75%),Rarely,The day before,"Reading and summarizing, Watching videos/online lectures",8,No,2.75
04/06/2026 16:26,5,,Sometimes (around 50%),Sometimes (2–3 days a week),The day before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",8,No,3.45
04/06/2026 16:27,10,,Often (more than 75%),Often (4–5 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions",6,No,2.8
04/06/2026 16:28,20,,Often (more than 75%),"Yes, daily",1–2 weeks before,"Reading and summarizing, Solving problems/practice questions",6,No,3.5
04/06/2026 16:32,42,,Always (almost every lecture),"Yes, daily",A few days before,"Solving problems/practice questions, Watching videos/online lectures, Group study",5,No,3.24
04/06/2026 16:36,10,,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions",8,Yes (part-time),3.2
04/06/2026 16:47,21,,Never,Often (4–5 days a week),1–2 weeks before,"Solving problems/practice questions, Watching videos/online lectures",10,Yes (part-time),3
04/06/2026 16:50,20,,Always (almost every lecture),Often (4–5 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions",8,No,3.77
04/06/2026 16:52,12,,Often (more than 75%),"Yes, daily",1–2 weeks before,"Reading and summarizing, Watching videos/online lectures",4,No,3.6
04/06/2026 16:53,5,,Always (almost every lecture),Often (4–5 days a week),A few days before,"Reading and summarizing, Memorization only",8,No,3.6
04/06/2026 16:54,6,,Sometimes (around 50%),Sometimes (2–3 days a week),1–2 weeks before,"Reading and summarizing, Solving problems/practice questions",4,No,3
04/06/2026 17:00,48,,Always (almost every lecture),Rarely,A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",12,No,2.1
04/06/2026 17:02,14,,Often (more than 75%),Sometimes (2–3 days a week),A few days before,"Solving problems/practice questions, Watching videos/online lectures",6,No,3.65
04/06/2026 17:05,2,,Rarely (less than 25%),Rarely,The day before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",10,No,3.8
04/06/2026 17:10,7,,Always (almost every lecture),Sometimes (2–3 days a week),The day before,"Reading and summarizing, Solving problems/practice questions",10,No,2.84
04/06/2026 17:10,5,,Always (almost every lecture),Rarely,1–2 weeks before,"Reading and summarizing, Solving problems/practice questions",7,No,3.4
04/06/2026 17:27,20,,Often (more than 75%),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures, Group study",5,No,3.93
04/06/2026 17:43,15,,Always (almost every lecture),Sometimes (2–3 days a week),1–2 weeks before,"Reading and summarizing, Watching videos/online lectures, Memorization only",6,No,2.7
04/06/2026 18:05,24,,Always (almost every lecture),Often (4–5 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Group study",4,No,3.7
04/06/2026 18:13,14,,Always (almost every lecture),Often (4–5 days a week),1–2 weeks before,Solving problems/practice questions,9,No,4
04/06/2026 18:18,30,,Sometimes (around 50%),Often (4–5 days a week),More than 2 weeks before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",9,Yes (part-time),3.42
04/06/2026 18:55,5,,Sometimes (around 50%),Rarely,A few days before,"Reading and summarizing, Solving problems/practice questions",5,No,1.8
04/06/2026 19:24,10,,Often (more than 75%),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",8,No,3.1
04/06/2026 19:53,4,,Sometimes (around 50%),Rarely,The day before,Reading and summarizing,9,No,3.7
04/06/2026 20:01,3,,Sometimes (around 50%),Sometimes (2–3 days a week),A few days before,"Solving problems/practice questions, Watching videos/online lectures",7,No,3.35
04/06/2026 20:06,10,,Sometimes (around 50%),Sometimes (2–3 days a week),1–2 weeks before,"Solving problems/practice questions, Watching videos/online lectures, Group study",8,No,3.87
04/06/2026 20:21,7,,Often (more than 75%),Often (4–5 days a week),The day before,"Solving problems/practice questions, Group study",9,No,2.2
04/06/2026 20:31,6,,Never,Rarely,The day before,"Reading and summarizing, Solving problems/practice questions",7,Yes (part-time),3.47
04/06/2026 20:32,15,,Often (more than 75%),"Yes, daily",1–2 weeks before,Solving problems/practice questions,6,No,2.8
04/06/2026 21:50,3,,Often (more than 75%),Rarely,1–2 weeks before,Reading and summarizing,8,No,3.24
04/06/2026 21:52,4,,Often (more than 75%),Sometimes (2–3 days a week),A few days before,"Solving problems/practice questions, Watching videos/online lectures",9,No,2.1
04/06/2026 22:34,50,,Rarely (less than 25%),"Yes, daily",The day before,Solving problems/practice questions,8,No,3.7
04/06/2026 23:20,15,,Often (more than 75%),Often (4–5 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",6,Yes (part-time),2.02
04/06/2026 23:25,20,,Often (more than 75%),Often (4–5 days a week),A few days before,Reading and summarizing,12,No,2.97
04/06/2026 23:41,10,,Always (almost every lecture),Sometimes (2–3 days a week),The day before,Reading and summarizing,8,No,3.26
04/07/2026 08:51,1,,Often (more than 75%),Rarely,1–2 weeks before,"Reading and summarizing, Memorization only",5,No,3.83
04/07/2026 19:31,8,,Sometimes (around 50%),Often (4–5 days a week),The day before,"Solving problems/practice questions, Watching videos/online lectures",6,No,3
